IDX_CD,CMP_CD,CMP_KOR,SEC_NM_KOR,기준일
G25,5380,현대차,경기관련소비재,2025-03-14
G25,270,기아,경기관련소비재,2025-03-14
G25,12330,현대모비스,경기관련소비재,2025-03-14
G25,21240,코웨이,경기관련소비재,2025-03-14
G25,90430,아모레퍼시픽,경기관련소비재,2025-03-14
G25,51900,LG생활건강,경기관련소비재,2025-03-14
G25,161390,한국타이어앤테크놀로지,경기관련소비재,2025-03-14
G25,35250,강원랜드,경기관련소비재,2025-03-14
G25,81660,휠라홀딩스,경기관련소비재,2025-03-14
G25,139480,이마트,경기관련소비재,2025-03-14
G25,278470,에이피알,경기관련소비재,2025-03-14
G25,192820,코스맥스,경기관련소비재,2025-03-14
G25,204320,HL만도,경기관련소비재,2025-03-14
G25,8770,호텔신라,경기관련소비재,2025-03-14
G25,65350,신성델타테크,경기관련소비재,2025-03-14
G25,161890,한국콜마,경기관련소비재,2025-03-14
G25,4170,신세계,경기관련소비재,2025-03-14
G25,383220,F&F,경기관련소비재,2025-03-14
G25,111770,영원무역,경기관련소비재,2025-03-14
G25,18880,한온시스템,경기관련소비재,2025-03-14
G25,282330,BGF리테일,경기관련소비재,2025-03-14
G25,69960,현대백화점,경기관련소비재,2025-03-14
G25,18290,브이티,경기관련소비재,2025-03-14
G25,257720,실리콘투,경기관련소비재,2025-03-14
G25,23530,롯데쇼핑,경기관련소비재,2025-03-14
G25,11210,현대위아,경기관련소비재,2025-03-14
G25,39130,하나투어,경기관련소비재,2025-03-14
G25,298020,효성티앤씨,경기관련소비재,2025-03-14
G25,4490,세방전지,경기관련소비재,2025-03-14
G25,9450,경동나비엔,경기관련소비재,2025-03-14
G25,2790,아모레G,경기관련소비재,2025-03-14
G25,5850,에스엘,경기관련소비재,2025-03-14
G25,48410,현대바이오,경기관련소비재,2025-03-14
G25,9970,영원무역홀딩스,경기관련소비재,2025-03-14
G25,1530,DI동일,경기관련소비재,2025-03-14
G25,25540,한국단자,경기관련소비재,2025-03-14
G25,34230,파라다이스,경기관련소비재,2025-03-14
G25,7340,DN오토모티브,경기관련소비재,2025-03-14
G25,73240,금호타이어,경기관련소비재,2025-03-14
G25,7070,GS리테일,경기관련소비재,2025-03-14
G25,240,한국앤컴퍼니,경기관련소비재,2025-03-14
G25,64960,SNT모티브,경기관련소비재,2025-03-14
G25,3570,SNT다이내믹스,경기관련소비재,2025-03-14
G25,57050,현대홈쇼핑,경기관련소비재,2025-03-14
G25,25980,아난티,경기관련소비재,2025-03-14
G25,114090,GKL,경기관련소비재,2025-03-14
G25,3620,KG모빌리티,경기관련소비재,2025-03-14
G25,241710,코스메카코리아,경기관련소비재,2025-03-14
G25,32350,롯데관광개발,경기관련소비재,2025-03-14
G25,93050,LF,경기관련소비재,2025-03-14
G25,215200,메가스터디교육,경기관련소비재,2025-03-14
G25,60980,HL홀딩스,경기관련소비재,2025-03-14
G25,15750,성우하이텍,경기관련소비재,2025-03-14
G25,215000,골프존,경기관련소비재,2025-03-14
G25,41020,폴라리스오피스,경기관련소비재,2025-03-14
G25,105550,엣지파운드리,경기관련소비재,2025-03-14
G25,36620,감성코퍼레이션,경기관련소비재,2025-03-14
G25,7700,F&F홀딩스,경기관련소비재,2025-03-14
G25,105630,한세실업,경기관련소비재,2025-03-14
G25,20000,한섬,경기관련소비재,2025-03-14
G25,114840,아이패밀리에스씨,경기관련소비재,2025-03-14
G25,6060,화승인더,경기관련소비재,2025-03-14
G25,3580,HLB글로벌,경기관련소비재,2025-03-14
G25,9900,명신산업,경기관련소비재,2025-03-14
G25,36530,SNT홀딩스,경기관련소비재,2025-03-14
G25,381970,케이카,경기관련소비재,2025-03-14
G25,2350,넥센타이어,경기관련소비재,2025-03-14
G25,65500,오리엔트정공,경기관련소비재,2025-03-14
G25,6730,서부T&D,경기관련소비재,2025-03-14
G25,271940,일진하이솔루스,경기관련소비재,2025-03-14
G25,499790,GS피앤엘,경기관련소비재,2025-03-14
G25,452260,한화갤러리아,경기관련소비재,2025-03-14
G25,200880,서연이화,경기관련소비재,2025-03-14
G25,424960,스마트레이더시스템,경기관련소비재,2025-03-14
G25,192400,쿠쿠홀딩스,경기관련소비재,2025-03-14
G25,80160,모두투어,경기관련소비재,2025-03-14
G25,241590,화승엔터프라이즈,경기관련소비재,2025-03-14
G25,35150,백산,경기관련소비재,2025-03-14
G25,107640,한중엔시에스,경기관련소비재,2025-03-14
G25,430,대원강업,경기관련소비재,2025-03-14
G25,123330,제닉,경기관련소비재,2025-03-14
G25,151860,KG에코솔루션,경기관련소비재,2025-03-14
G25,24720,콜마홀딩스,경기관련소비재,2025-03-14
G25,1390,KG케미칼,경기관련소비재,2025-03-14
G25,13990,아가방컴퍼니,경기관련소비재,2025-03-14
G25,31430,신세계인터내셔날,경기관련소비재,2025-03-14
G25,270660,에브리봇,경기관련소비재,2025-03-14
G25,230360,에코마케팅,경기관련소비재,2025-03-14
G25,18250,애경산업,경기관련소비재,2025-03-14
G25,35080,그래디언트,경기관련소비재,2025-03-14
G25,96240,크레버스,경기관련소비재,2025-03-14
G25,284740,쿠쿠홈시스,경기관련소비재,2025-03-14
G25,126560,현대퓨처넷,경기관련소비재,2025-03-14
G25,126600,BGF에코머티리얼즈,경기관련소비재,2025-03-14
G25,123040,엠에스오토텍,경기관련소비재,2025-03-14
G25,10690,화신,경기관련소비재,2025-03-14
G25,64800,포니링크,경기관련소비재,2025-03-14
G25,237880,클리오,경기관련소비재,2025-03-14
G25,118990,모트렉스,경기관련소비재,2025-03-14
G25,352480,씨앤씨인터내셔널,경기관련소비재,2025-03-14
G25,5390,신성통상,경기관련소비재,2025-03-14
G25,92730,네오팜,경기관련소비재,2025-03-14
G25,11330,유니켐,경기관련소비재,2025-03-14
G25,43370,피에이치에이,경기관련소비재,2025-03-14
G25,214260,라파스,경기관련소비재,2025-03-14
G25,70960,모나용평,경기관련소비재,2025-03-14
G25,317870,엔바이오니아,경기관련소비재,2025-03-14
G25,66590,우수AMS,경기관련소비재,2025-03-14
G25,5720,넥센,경기관련소비재,2025-03-14
G25,51160,지어소프트,경기관련소비재,2025-03-14
G25,337930,브랜드엑스코퍼레이션,경기관련소비재,2025-03-14
G25,52260,현대바이오랜드,경기관련소비재,2025-03-14
G25,92200,디아이씨,경기관련소비재,2025-03-14
G25,214330,금호에이치티,경기관련소비재,2025-03-14
G25,475560,더본코리아,경기관련소비재,2025-03-14
G25,4700,조광피혁,경기관련소비재,2025-03-14
G25,475580,에이럭스,경기관련소비재,2025-03-14
G25,437730,삼현,경기관련소비재,2025-03-14
G25,37710,광주신세계,경기관련소비재,2025-03-14
G25,68930,디지털대성,경기관련소비재,2025-03-14
G25,2700,신일전자,경기관련소비재,2025-03-14
G25,72870,메가스터디,경기관련소비재,2025-03-14
G25,3610,방림,경기관련소비재,2025-03-14
G25,38880,아이에이,경기관련소비재,2025-03-14
G25,7860,서연,경기관련소비재,2025-03-14
G25,123410,코리아에프티,경기관련소비재,2025-03-14
G25,3200,일신방직,경기관련소비재,2025-03-14
G25,10100,한국무브넥스,경기관련소비재,2025-03-14
G25,354320,알멕,경기관련소비재,2025-03-14
G25,298540,더네이쳐홀딩스,경기관련소비재,2025-03-14
G25,194370,제이에스코퍼레이션,경기관련소비재,2025-03-14
G25,67990,도이치모터스,경기관련소비재,2025-03-14
G25,121440,골프존뉴딘홀딩스,경기관련소비재,2025-03-14
G25,4830,덕성,경기관련소비재,2025-03-14
G25,3350,한국화장품제조,경기관련소비재,2025-03-14
G25,63170,서울옥션,경기관련소비재,2025-03-14
G25,6660,삼성공조,경기관련소비재,2025-03-14
G25,50,경방,경기관련소비재,2025-03-14
G25,67280,멀티캠퍼스,경기관련소비재,2025-03-14
G25,71840,롯데하이마트,경기관련소비재,2025-03-14
G25,214420,토니모리,경기관련소비재,2025-03-14
G25,9680,모토닉,경기관련소비재,2025-03-14
G25,9270,신원,경기관련소비재,2025-03-14
G25,33530,SJG세종,경기관련소비재,2025-03-14
G25,13310,아진산업,경기관련소비재,2025-03-14
G25,461300,아이스크림미디어,경기관련소비재,2025-03-14
G25,2170,삼양통상,경기관련소비재,2025-03-14
G25,78520,에이블씨엔씨,경기관련소비재,2025-03-14
G25,18500,동원금속,경기관련소비재,2025-03-14
G25,38110,에코플라스틱,경기관련소비재,2025-03-14
G25,17370,우신시스템,경기관련소비재,2025-03-14
G25,36030,케이티알파,경기관련소비재,2025-03-14
G25,12860,모베이스전자,경기관련소비재,2025-03-14
G25,84680,이월드,경기관련소비재,2025-03-14
G25,1460,BYC,경기관련소비재,2025-03-14
G25,95720,웅진씽크빅,경기관련소비재,2025-03-14
G25,93240,형지엘리트,경기관련소비재,2025-03-14
G25,64090,인크레더블버즈,경기관련소비재,2025-03-14
G25,102280,쌍방울,경기관련소비재,2025-03-14
G25,27050,코리아나,경기관련소비재,2025-03-14
G25,110790,크리스에프앤씨,경기관련소비재,2025-03-14
G25,439090,마녀공장,경기관련소비재,2025-03-14
G25,5710,대원산업,경기관련소비재,2025-03-14
G25,2450,삼익악기,경기관련소비재,2025-03-14
G25,373160,데이원컴퍼니,경기관련소비재,2025-03-14
G25,53700,삼보모터스,경기관련소비재,2025-03-14
G25,31440,신세계푸드,경기관련소비재,2025-03-14
G25,215360,우리산업,경기관련소비재,2025-03-14
G25,219550,디와이디,경기관련소비재,2025-03-14
G25,4100,태양금속,경기관련소비재,2025-03-14
G25,89470,HDC현대EP,경기관련소비재,2025-03-14
G25,87260,모바일어플라이언스,경기관련소비재,2025-03-14
G25,453860,에이에스텍,경기관련소비재,2025-03-14
G25,24740,한일단조,경기관련소비재,2025-03-14
G25,234100,폴라리스세원,경기관련소비재,2025-03-14
G25,24900,덕양산업,경기관련소비재,2025-03-14
G25,123690,한국화장품,경기관련소비재,2025-03-14
G25,16090,대현,경기관련소비재,2025-03-14
G25,7720,대명소노시즌,경기관련소비재,2025-03-14
G25,23800,인지컨트롤스,경기관련소비재,2025-03-14
G25,53280,예스24,경기관련소비재,2025-03-14
G25,215100,로보로보,경기관련소비재,2025-03-14
G25,67570,엔브이에이치코리아,경기관련소비재,2025-03-14
G25,1380,SG글로벌,경기관련소비재,2025-03-14
G25,472850,폰드그룹,경기관련소비재,2025-03-14
G25,47400,유니온머티리얼,경기관련소비재,2025-03-14
G25,40420,정상제이엘에스,경기관련소비재,2025-03-14
G25,11300,성안머티리얼스,경기관련소비재,2025-03-14
G25,5800,신영와코루,경기관련소비재,2025-03-14
G25,336680,탑런토탈솔루션,경기관련소비재,2025-03-14
G25,226320,잇츠한불,경기관련소비재,2025-03-14
G25,97780,에코볼트,경기관련소비재,2025-03-14
G25,159580,제로투세븐,경기관련소비재,2025-03-14
G25,362320,청담글로벌,경기관련소비재,2025-03-14
G25,44340,위닉스,경기관련소비재,2025-03-14
G25,14470,부방,경기관련소비재,2025-03-14
G25,86710,선진뷰티사이언스,경기관련소비재,2025-03-14
G25,475460,미트박스,경기관련소비재,2025-03-14
G25,19010,베뉴지,경기관련소비재,2025-03-14
G25,94850,참좋은여행,경기관련소비재,2025-03-14
G25,33310,엠투엔,경기관련소비재,2025-03-14
G25,10770,평화홀딩스,경기관련소비재,2025-03-14
G25,419050,삼기이브이,경기관련소비재,2025-03-14
G25,16740,두올,경기관련소비재,2025-03-14
G25,41930,동아화성,경기관련소비재,2025-03-14
G25,463480,모티브링크,경기관련소비재,2025-03-14
G25,170030,현대공업,경기관련소비재,2025-03-14
G25,21820,세원정공,경기관련소비재,2025-03-14
G25,104620,노랑풍선,경기관련소비재,2025-03-14
G25,11320,유니크,경기관련소비재,2025-03-14
G25,6370,대구백화점,경기관련소비재,2025-03-14
G25,113810,디젠스,경기관련소비재,2025-03-14
G25,265560,영화테크,경기관련소비재,2025-03-14
G25,363280,티와이홀딩스,경기관련소비재,2025-03-14
G25,101330,모베이스,경기관련소비재,2025-03-14
G25,13520,화승코퍼레이션,경기관련소비재,2025-03-14
G25,80420,모다이노칩,경기관련소비재,2025-03-14
G25,352700,씨앤투스,경기관련소비재,2025-03-14
G25,450140,코오롱모빌리티그룹,경기관련소비재,2025-03-14
G25,24940,PN풍년,경기관련소비재,2025-03-14
G25,20710,시공테크,경기관련소비재,2025-03-14
G25,9810,플레이그램,경기관련소비재,2025-03-14
G25,260930,씨티케이,경기관련소비재,2025-03-14
G25,42600,새로닉스,경기관련소비재,2025-03-14
G25,32940,원익,경기관련소비재,2025-03-14
G25,10580,에스엠벡셀,경기관련소비재,2025-03-14
G25,67830,세이브존I&C,경기관련소비재,2025-03-14
G25,79980,휴비스,경기관련소비재,2025-03-14
G25,39830,오로라,경기관련소비재,2025-03-14
G25,19660,글로본,경기관련소비재,2025-03-14
G25,7980,TP,경기관련소비재,2025-03-14
G25,451250,삐아,경기관련소비재,2025-03-14
G25,7530,와이엠,경기관련소비재,2025-03-14
G25,11420,갤럭시아에스엠,경기관련소비재,2025-03-14
G25,19680,대교,경기관련소비재,2025-03-14
G25,23000,삼원강재,경기관련소비재,2025-03-14
G25,66130,하츠,경기관련소비재,2025-03-14
G25,8600,윌비스,경기관련소비재,2025-03-14
G25,9320,아진전자부품,경기관련소비재,2025-03-14
G25,104040,대성파인텍,경기관련소비재,2025-03-14
G25,204020,그리티,경기관련소비재,2025-03-14
G25,53290,NE능률,경기관련소비재,2025-03-14
G25,66910,손오공,경기관련소비재,2025-03-14
G25,48430,유라테크,경기관련소비재,2025-03-14
G25,37070,파세코,경기관련소비재,2025-03-14
G25,24950,삼천리자전거,경기관련소비재,2025-03-14
G25,24910,경창산업,경기관련소비재,2025-03-14
G25,57030,YBM넷,경기관련소비재,2025-03-14
G25,67170,오텍,경기관련소비재,2025-03-14
G25,366030,공구우먼,경기관련소비재,2025-03-14
G25,111110,호전실업,경기관련소비재,2025-03-14
G25,19180,티에이치엔,경기관련소비재,2025-03-14
G25,4060,SG세계물산,경기관련소비재,2025-03-14
G25,163560,동일고무벨트,경기관련소비재,2025-03-14
G25,16450,한세예스24홀딩스,경기관련소비재,2025-03-14
G25,114630,폴라리스우노,경기관련소비재,2025-03-14
G25,33340,좋은사람들,경기관련소비재,2025-03-14
G25,111380,동인기연,경기관련소비재,2025-03-14
G25,102370,케이옥션,경기관련소비재,2025-03-14
G25,122350,삼기,경기관련소비재,2025-03-14
G25,13870,지엠비코리아,경기관련소비재,2025-03-14
G25,71850,캐스텍코리아,경기관련소비재,2025-03-14
G25,1620,케이비아이동국실업,경기관련소비재,2025-03-14
G25,168330,내츄럴엔도텍,경기관련소비재,2025-03-14
G25,212560,네오오토,경기관련소비재,2025-03-14
G25,126640,화신정공,경기관련소비재,2025-03-14
G25,80530,코디,경기관련소비재,2025-03-14
G25,88290,이원컴포텍,경기관련소비재,2025-03-14
G25,12280,영화금속,경기관련소비재,2025-03-14
G25,353590,오토앤,경기관련소비재,2025-03-14
G25,5030,부산주공,경기관련소비재,2025-03-14
G25,23810,인팩,경기관련소비재,2025-03-14
G25,41650,상신브레이크,경기관련소비재,2025-03-14
G25,378850,화승알앤에이,경기관련소비재,2025-03-14
G25,241690,유니테크노,경기관련소비재,2025-03-14
G25,226340,본느,경기관련소비재,2025-03-14
G25,53270,구영테크,경기관련소비재,2025-03-14
G25,19540,일지테크,경기관련소비재,2025-03-14
G25,80010,이상네트웍스,경기관련소비재,2025-03-14
G25,5360,모나미,경기관련소비재,2025-03-14
G25,100220,비상교육,경기관련소비재,2025-03-14
G25,5320,온타이드,경기관련소비재,2025-03-14
G25,420570,제이투케이바이오,경기관련소비재,2025-03-14
G25,263020,디케이앤디,경기관련소비재,2025-03-14
G25,137940,넥스트아이,경기관련소비재,2025-03-14
G25,2920,유성기업,경기관련소비재,2025-03-14
G25,13720,CBI,경기관련소비재,2025-03-14
G25,145170,노브랜드,경기관련소비재,2025-03-14
G25,14990,인디에프,경기관련소비재,2025-03-14
G25,310870,디와이씨,경기관련소비재,2025-03-14
G25,32860,더라미,경기관련소비재,2025-03-14
G25,339950,아이비김영,경기관련소비재,2025-03-14
G25,51390,YW,경기관련소비재,2025-03-14
G25,308170,씨티알모빌리티,경기관련소비재,2025-03-14
G25,252500,세화피앤씨,경기관련소비재,2025-03-14
G25,83550,케이엠,경기관련소비재,2025-03-14
G25,352090,스톰테크,경기관련소비재,2025-03-14
G25,13000,세우글로벌,경기관련소비재,2025-03-14
G25,92780,동양피스톤,경기관련소비재,2025-03-14
G25,75180,새론오토모티브,경기관련소비재,2025-03-14
G25,31510,오스템,경기관련소비재,2025-03-14
G25,90080,평화산업,경기관련소비재,2025-03-14
G25,4840,DRB동일,경기관련소비재,2025-03-14
G25,12200,계양전기,경기관련소비재,2025-03-14
G25,318160,셀바이오휴먼텍,경기관련소비재,2025-03-14
G25,26040,제이에스티나,경기관련소비재,2025-03-14
G25,19770,서연탑메탈,경기관련소비재,2025-03-14
G25,256150,한독크린텍,경기관련소비재,2025-03-14
G25,2880,대유에이텍,경기관련소비재,2025-03-14
G25,145210,다이나믹디자인,경기관련소비재,2025-03-14
G25,133750,메가엠디,경기관련소비재,2025-03-14
G25,123700,SJM,경기관련소비재,2025-03-14
G25,33250,체시스,경기관련소비재,2025-03-14
G25,406820,뷰티스킨,경기관련소비재,2025-03-14
G25,265740,엔에프씨,경기관련소비재,2025-03-14
G25,21650,한국큐빅,경기관련소비재,2025-03-14
G25,78590,휴림에이텍,경기관련소비재,2025-03-14
G25,24890,대원화성,경기관련소비재,2025-03-14
G25,47770,코데즈컴바인,경기관련소비재,2025-03-14
G25,50120,ES큐브,경기관련소비재,2025-03-14
G25,85910,네오티스,경기관련소비재,2025-03-14
G25,306040,에스제이그룹,경기관련소비재,2025-03-14
G25,159910,스킨앤스킨,경기관련소비재,2025-03-14
G25,457600,벡트,경기관련소비재,2025-03-14
G25,267790,배럴,경기관련소비재,2025-03-14
G25,130500,GH신소재,경기관련소비재,2025-03-14
G25,14100,메디앙스,경기관련소비재,2025-03-14
G25,11080,형지I&C,경기관련소비재,2025-03-14
G25,65060,지엔코,경기관련소비재,2025-03-14
G25,2070,비비안,경기관련소비재,2025-03-14
G25,88390,이녹스,경기관련소비재,2025-03-14
G25,365900,브이씨,경기관련소비재,2025-03-14
G25,215480,토박스코리아,경기관련소비재,2025-03-14
G25,335870,윙스풋,경기관련소비재,2025-03-14
G25,25440,DH오토웨어,경기관련소비재,2025-03-14
G25,478560,블랙야크아이앤씨,경기관련소비재,2025-03-14
G25,950,전방,경기관련소비재,2025-03-14
G25,2420,세기상사,경기관련소비재,2025-03-14
G25,32080,아즈텍WB,경기관련소비재,2025-03-14
G25,93380,풍강,경기관련소비재,2025-03-14
G25,227610,아우딘퓨쳐스,경기관련소비재,2025-03-14
G25,376180,피코그램,경기관련소비재,2025-03-14
G25,1420,태원물산,경기관련소비재,2025-03-14
G25,24830,세원물산,경기관련소비재,2025-03-14
G25,122690,서진오토모티브,경기관련소비재,2025-03-14
G25,234920,자이글,경기관련소비재,2025-03-14
G25,25620,제이준코스메틱,경기관련소비재,2025-03-14
G25,143210,핸즈코퍼레이션,경기관련소비재,2025-03-14
G25,289010,아이스크림에듀,경기관련소비재,2025-03-14
G25,84440,유비온,경기관련소비재,2025-03-14
G25,90150,아이윈,경기관련소비재,2025-03-14
G25,83660,CSA 코스믹,경기관련소비재,2025-03-14
G25,25530,SJM홀딩스,경기관련소비재,2025-03-14
G25,111710,남화산업,경기관련소비재,2025-03-14
G25,80470,성창오토텍,경기관련소비재,2025-03-14
G25,128540,에코캡,경기관련소비재,2025-03-14
G25,134060,이퓨쳐,경기관련소비재,2025-03-14
G25,198940,한주라이트메탈,경기관련소비재,2025-03-14
G25,84870,TBH글로벌,경기관련소비재,2025-03-14
G25,18700,바른손,경기관련소비재,2025-03-14
G25,69640,한세엠케이,경기관련소비재,2025-03-14
G25,8290,원풍물산,경기관련소비재,2025-03-14
G25,1070,대한방직,경기관련소비재,2025-03-14
G25,40,KR모터스,경기관련소비재,2025-03-14
G25,53060,세동,경기관련소비재,2025-03-14
G25,88790,진도,경기관련소비재,2025-03-14
G25,39740,한국정보공학,경기관련소비재,2025-03-14
G25,123750,알톤,경기관련소비재,2025-03-14
G25,225590,패션플랫폼,경기관련소비재,2025-03-14
G25,24120,KB오토시스,경기관련소비재,2025-03-14
G25,72470,우리산업홀딩스,경기관련소비재,2025-03-14
G25,130740,티피씨글로벌,경기관련소비재,2025-03-14
G25,146060,율촌,경기관련소비재,2025-03-14
G25,98660,에스티오,경기관련소비재,2025-03-14
G25,290120,DH오토리드,경기관련소비재,2025-03-14
G25,344860,이노진,경기관련소비재,2025-03-14
G25,69920,엑시온그룹,경기관련소비재,2025-03-14
G25,20400,대동금속,경기관련소비재,2025-03-14
G25,308100,까스텔바작,경기관련소비재,2025-03-14
G25,109670,씨싸이트,경기관련소비재,2025-03-14
G25,8500,일정실업,경기관련소비재,2025-03-14
G25,35290,골드앤에스,경기관련소비재,2025-03-14
G35,68270,셀트리온,건강관리,2025-03-14
G35,207940,삼성바이오로직스,건강관리,2025-03-14
G35,196170,알테오젠,건강관리,2025-03-14
G35,28300,HLB,건강관리,2025-03-14
G35,100,유한양행,건강관리,2025-03-14
G35,141080,리가켐바이오,건강관리,2025-03-14
G35,250,삼천당제약,건강관리,2025-03-14
G35,145020,휴젤,건강관리,2025-03-14
G35,214450,파마리서치,건강관리,2025-03-14
G35,326030,SK바이오팜,건강관리,2025-03-14
G35,87010,펩트론,건강관리,2025-03-14
G35,128940,한미약품,건강관리,2025-03-14
G35,9420,한올바이오파마,건강관리,2025-03-14
G35,298380,에이비엘바이오,건강관리,2025-03-14
G35,328130,루닛,건강관리,2025-03-14
G35,310210,보로노이,건강관리,2025-03-14
G35,68760,셀트리온제약,건강관리,2025-03-14
G35,39200,오스코텍,건강관리,2025-03-14
G35,67630,HLB생명과학,건강관리,2025-03-14
G35,302440,SK바이오사이언스,건강관리,2025-03-14
G35,96530,씨젠,건강관리,2025-03-14
G35,7390,네이처셀,건강관리,2025-03-14
G35,237690,에스티팜,건강관리,2025-03-14
G35,185750,종근당,건강관리,2025-03-14
G35,86900,메디톡스,건강관리,2025-03-14
G35,6280,녹십자,건강관리,2025-03-14
G35,226950,올릭스,건강관리,2025-03-14
G35,8930,한미사이언스,건강관리,2025-03-14
G35,115450,HLB테라퓨틱스,건강관리,2025-03-14
G35,47920,HLB제약,건강관리,2025-03-14
G35,69620,대웅제약,건강관리,2025-03-14
G35,358570,지아이이노베이션,건강관리,2025-03-14
G35,85660,차바이오텍,건강관리,2025-03-14
G35,53030,바이넥스,건강관리,2025-03-14
G35,475830,오름테라퓨틱,건강관리,2025-03-14
G35,335890,비올,건강관리,2025-03-14
G35,214150,클래시스,건강관리,2025-03-14
G35,137310,에스디바이오센서,건강관리,2025-03-14
G35,347850,디앤디파마텍,건강관리,2025-03-14
G35,220100,퓨쳐켐,건강관리,2025-03-14
G35,214370,케어젠,건강관리,2025-03-14
G35,3090,대웅,건강관리,2025-03-14
G35,206650,유바이오로직스,건강관리,2025-03-14
G35,145720,덴티움,건강관리,2025-03-14
G35,195940,HK이노엔,건강관리,2025-03-14
G35,640,동아쏘시오홀딩스,건강관리,2025-03-14
G35,3850,보령,건강관리,2025-03-14
G35,86450,동국제약,건강관리,2025-03-14
G35,228760,지노믹트리,건강관리,2025-03-14
G35,290650,엘앤씨바이오,건강관리,2025-03-14
G35,99190,아이센스,건강관리,2025-03-14
G35,64550,바이오니아,건강관리,2025-03-14
G35,108860,셀바스AI,건강관리,2025-03-14
G35,5250,녹십자홀딩스,건강관리,2025-03-14
G35,102940,코오롱생명과학,건강관리,2025-03-14
G35,99430,바이오플러스,건강관리,2025-03-14
G35,1060,JW중외제약,건강관리,2025-03-14
G35,78160,메디포스트,건강관리,2025-03-14
G35,336570,원텍,건강관리,2025-03-14
G35,215600,신라젠,건강관리,2025-03-14
G35,60280,큐렉소,건강관리,2025-03-14
G35,340570,티앤엘,건강관리,2025-03-14
G35,372320,큐로셀,건강관리,2025-03-14
G35,397030,에이프릴바이오,건강관리,2025-03-14
G35,206640,바디텍메드,건강관리,2025-03-14
G35,170900,동아에스티,건강관리,2025-03-14
G35,3000,부광약품,건강관리,2025-03-14
G35,84110,휴온스글로벌,건강관리,2025-03-14
G35,200670,휴메딕스,건강관리,2025-03-14
G35,455900,엔젤로보틱스,건강관리,2025-03-14
G35,19170,신풍제약,건강관리,2025-03-14
G35,41830,인바디,건강관리,2025-03-14
G35,82800,비보존 제약,건강관리,2025-03-14
G35,389650,넥스트바이오메디컬,건강관리,2025-03-14
G35,304360,에스바이오메딕스,건강관리,2025-03-14
G35,115180,큐리언트,건강관리,2025-03-14
G35,199800,툴젠,건강관리,2025-03-14
G35,58820,CMG제약,건강관리,2025-03-14
G35,205470,휴마시스,건강관리,2025-03-14
G35,256840,한국비엔씨,건강관리,2025-03-14
G35,67080,대화제약,건강관리,2025-03-14
G35,3220,대원제약,건강관리,2025-03-14
G35,314930,바이오다인,건강관리,2025-03-14
G35,338220,뷰노,건강관리,2025-03-14
G35,41960,코미팜,건강관리,2025-03-14
G35,243070,휴온스,건강관리,2025-03-14
G35,3520,영진약품,건강관리,2025-03-14
